Brewer,,DrinkName
Genesee,,Loose Beer
Budweiser,,Loose Beer
Budweiser,,Loose Light
Budweiser,,Loose Light Lime
Coors,,Loose Light
Labatt Blue,,Loose Beer
Labatt Blue,,Loose Light
Michelob,,Ultra
Mickeys,,Malt Liquor
Miller ,,Lite
Molson Canadian,,Loose Beer
Yuengling,,Lager
Blue Moon,,Belgian White
Corona,,Loose Beer
Corona,,Loose Light
New Belgium,,Fat Tire
Heineken,,Loose Beer
Mike's,,Harder Lemonade
Peroni,,Loose Beer
Red Stripe,,Loose Beer
Redd,,Blueberry
Redd,,Wicked Blk Chr
Smirnoff,,Ice Original
Smirnoff,,Ice RW&B
White Claw,,Black Cherry
White Claw,,Variety
